date,wake_up_time,start,end,duration,duration_num,day,consistency,time_to_start,time_to_start_min,week
2024-04-20,6:26,6:53,6:56,0:03:28,3.466666667,Sat,Slightly wet,0:27,27,3
2024-04-21,7:29,8:04,8:07,0:03:15,3.25,Sun,Normal,0:35,35,4
2024-04-22,8:06,8:39,8:42,0:02:42,2.7,Mon,Wet,0:33,33,4
2024-04-23,6:53,7:10,7:14,0:03:33,3.55,Tue,Normal,0:17,17,4
2024-04-24,7:49,8:15,8:17,0:02:21,2.35,Wed,Normal,0:26,26,4
2024-04-25,9:12,9:33,9:36,0:02:38,2.633333333,Thu,Normal,0:21,21,4
2024-04-26,,,,,,,,,,4
2024-04-27,6:30,6:44,6:48,0:03:58,3.966666667,Sat,Slightly Dry,0:14,14,4
2024-04-28,8:08,8:52,8:55,0:03:01,3.016666667,Sun,Normal,0:44,44,5
2024-04-29,7:25,7:42,7:46,0:03:15,3.25,Mon,Slightly Wet,0:17,17,5
2024-04-30,6:50,7:05,7:08,0:03:08,3.133333333,Tue,Normal,0:15,15,5
2024-05-01,7:01,7:26,7:29,0:02:56,2.933333333,Wed,Normal,0:25,25,5
2024-05-02,6:50,7:07,7:09,0:02:33,2.55,Thu,Normal,0:17,17,5
2024-05-03,7:22,8:03,8:05,0:02:32,2.533333333,Fri,Slightly Wet,0:41,41,5
2024-05-04,8:06,8:24,8:27,0:02:53,2.883333333,Sat,Normal,0:18,18,5
2024-05-05,8:29,8:47,8:50,0:02:38,2.633333333,Sun,Normal,0:18,18,6
2024-05-06,7:29,7:47,7:50,0:03:18,3.3,Mon,Normal,0:18,18,6
2024-05-07,6:56,7:11,7:13,0:02:41,2.683333333,Tue,Slightly Wet,0:15,15,6
2024-05-08,7:13:00,7:36,7:39,0:03:08,3.133333333,Wed,Normal,0:23,23,6
2024-05-09,6:51,7:05,7:08,0:02:51,2.85,Thu,Normal,0:14,14,6
2024-05-10,7:53,8:30,8:33,0:03:06,3.1,Fri,Normal,0:37,37,6
2024-05-11,7:14,7:37,7:39,0:02:08,2.133333333,Sat,Normal,0:23,23,6
2024-05-12,6:31,7:13,7:17,0:03:24,3.4,Sun,Dry,0:42,42,7
2024-05-13,7:58,8:15,8:18,0:02:35,2.583333333,Mon,Normal,0:17,17,7
2024-05-14,6:50,7:05,7:08,0:02:16,2.266666667,Tue,Normal,0:15,15,7
2024-05-15,7:45,8:11,8:14,0:02:34,2.566666667,Wed,Normal,0:26,26,7
2024-05-16,7:26,7:44,7:47,0:02:30,2.5,Thu,Normal,0:18,18,7
2024-05-17,8:04,8:32,8:34,0:02:13,2.216666667,Fri,Normal,0:28,28,7
2024-05-18,5:07,5:29,5:32,0:02:22,2.366666667,Sat,Normal,0:22,22,7
2024-05-19,8:22,9:05,9:08,0:02:34,2.566666667,Sun,Normal,0:43,43,8
2024-05-20,8:04,9:07,9:10,0:02:37,2.616666667,Mon,Normal,1:03,63,8
2024-05-21,6:50,7:07,7:10,0:02:25,2.416666667,Tue,Slightly wet,0:17,17,8
2024-05-22,7:50,8:03,8:06,0:02:31,2.516666667,Wed,Normal,0:13,13,8
2024-05-23,7:27,7:44,7:47,0:02:34,2.566666667,Thu,Normal ,0:17,17,8
2024-05-24,6:52,7:06,7:08,0:01:59,1.983333333,Fri,Normal,0:14,14,8
2024-05-25,7:24,8:00,8:02,0:01:57,1.95,Sat,Normal,0:36,36,8
2024-05-26,7:18,8:10,8:13,0:02:31,2.516666667,Sun,Normal,0:52,52,9
2024-05-27,6:45,7:26,7:29,0:02:53,2.883333333,Mon,Normal,0:41,41,9
2024-05-28,7:47,8:07,8:10,0:03:00,3,Tue,Normal,0:20,20,9
2024-05-29,6:45,7:05,7:08,0:02:12,2.2,Wed,Slightly wet,0:20,20,9
2024-05-30,6:50,7:09,7:11,0:01:58,1.966666667,Thu,Normal,0:19,19,9
2024-05-31,8:10,8:44,8:46,0:02:28,2.466666667,Fri,Slightly wet,0:34,34,9
2024-06-01,8:12,9:08,9:11,0:02:59,2.983333333,Sat,Normal,0:56,56,9
2024-06-02,7:46,9:10,9:13,0:02:33,2.55,Sun,Normal,1:24,84,10
2024-06-03,7:57,8:16,8:18,0:02:27,2.45,Mon,Slightly wet,0:19,19,10
2024-06-04,6:55,7:11,7:13,0:02:22,2.366666667,Tue,Normal,0:16,16,10
